seed,family,noise,w_u,w_g,w_d,rmse,mae,decision_agreement,missed_exceedance,tp,fn,fp,tn,prevalence,recall,precision,false_positive_rate,balanced_accuracy,method
5,smooth,0.003,0.4,0.2,0.4,0.003155389174187189,0.0025093622301874626,0.9904,0.06779661016949153,55,4,2,564,0.0944,0.9322033898305084,0.9649122807017544,0.0035335689045936395,0.9643349104629574,evidence_tuned_frozen
5,smooth,0.008,0.4,0.2,0.4,0.008220561509080834,0.006550898697344152,0.968,0.11864406779661017,52,7,13,553,0.0944,0.8813559322033898,0.8,0.022968197879858657,0.9291938671617656,evidence_tuned_frozen
5,waviness,0.003,0.4,0.2,0.4,0.01199134049811797,0.008224069196756233,0.9664,0.36363636363636365,28,16,5,576,0.0704,0.6363636363636364,0.8484848484848485,0.008605851979345954,0.8138788921921452,evidence_tuned_frozen
5,waviness,0.008,0.4,0.2,0.4,0.011693924819789427,0.00907391446649859,0.9376,0.7045454545454546,13,31,8,573,0.0704,0.29545454545454547,0.6190476190476191,0.013769363166953529,0.6408425911437959,evidence_tuned_frozen
5,local_defect,0.003,0.4,0.2,0.4,0.004710397525177755,0.002498412295645796,0.9824,0.10256410256410256,35,4,7,579,0.0624,0.8974358974358975,0.8333333333333334,0.011945392491467578,0.942745252472215,evidence_tuned_frozen
5,local_defect,0.008,0.4,0.2,0.4,0.007217268953243213,0.005276425738941316,0.9536,0.3076923076923077,27,12,17,569,0.0624,0.6923076923076923,0.6136363636363636,0.02901023890784983,0.8316487266999213,evidence_tuned_frozen
5,mixed,0.003,0.4,0.2,0.4,0.004378505847270755,0.003442054105616063,0.9936,0.04,24,1,3,597,0.04,0.96,0.8888888888888888,0.005,0.9775,evidence_tuned_frozen
5,mixed,0.008,0.4,0.2,0.4,0.0078537465656732,0.006010868034557156,0.976,0.12,22,3,12,588,0.04,0.88,0.6470588235294118,0.02,0.9299999999999999,evidence_tuned_frozen
6,smooth,0.003,0.4,0.2,0.4,0.0030786265228692146,0.002380497463157334,0.9872,0.05555555555555555,34,2,6,583,0.0576,0.9444444444444444,0.85,0.010186757215619695,0.9671288436144123,evidence_tuned_frozen
6,smooth,0.008,0.4,0.2,0.4,0.0070605254125168755,0.005589773739927331,0.9664,0.2222222222222222,28,8,13,576,0.0576,0.7777777777777778,0.6829268292682927,0.022071307300509338,0.8778532352386342,evidence_tuned_frozen
