noise,method,n,rmse,agreement,missed,recall,precision,fpr,balanced_accuracy
0.003,evidence_gated,60,0.005498622571992676,0.9819466666666667,0.2021625108815361,0.7978374891184639,0.847897584796284,0.005687775773220928,0.8960748566726214
0.003,evidence_no_geometry,60,0.005878118351225301,0.9812266666666666,0.24633236147380547,0.7536676385261944,0.8284697775898062,0.005466470545169863,0.8741005839905124
0.003,geometry_only,60,0.005602590131438898,0.9743733333333334,0.37392531621118635,0.6260746837888136,0.8274265819401241,0.004977430396865814,0.8105486266959739
0.003,posterior_risk,60,0.007077990782597769,0.98136,0.21210337392004028,0.7878966260799597,0.8370158131666586,0.0058439174079336935,0.891026354336013
0.003,randomized_straddle,60,0.006634512665692845,0.9812533333333333,0.23085648627422098,0.769143513725779,0.8251569516580949,0.005719493446620567,0.8817120101395791
0.003,risk_geometry,60,0.006859198128351811,0.9806933333333333,0.20408866806918569,0.7959113319308142,0.8500954986851371,0.005984900507388885,0.8949632157117127
0.003,space_filling,60,0.0044964820377699725,0.9769866666666667,0.3600501174432432,0.6399498825567567,0.8164771261541104,0.005126672391614381,0.8174116050825712
0.003,two_sided_straddle,60,0.00553083807923253,0.9819466666666667,0.1932627926273081,0.8067372073726918,0.8434321265834844,0.0061774170168088765,0.9002798951779415
0.003,uncertainty_only,60,0.004502728622897876,0.9772533333333333,0.3325880040275898,0.6674119959724102,0.8208668355811308,0.004787952646292184,0.8313120216630591
0.008,evidence_gated,60,0.008231096350875261,0.9699466666666666,0.3235637500240758,0.6764362499759241,0.6903802282573366,0.012814778076061127,0.8318107359499315
0.008,evidence_no_geometry,60,0.008571743614121087,0.9695466666666667,0.3373562568662901,0.6626437431337099,0.6793846937866673,0.013046269240419446,0.8247987369466452
0.008,geometry_only,60,0.008386759871003152,0.95928,0.4625626141802205,0.5374373858197795,0.5983279985457951,0.016908797668288813,0.7602642940757453
0.008,posterior_risk,60,0.009749986307272434,0.9695733333333333,0.35484035441076983,0.6451596455892301,0.7091894008547068,0.011266320135997137,0.8169466627266164
0.008,randomized_straddle,60,0.009161448009810839,0.9687466666666666,0.34612389972063107,0.6538761002793689,0.7023385547838824,0.012021277234164499,0.8209274115226022
0.008,risk_geometry,60,0.009653967449458277,0.96936,0.32628519189459537,0.6737148081054046,0.7103604437176856,0.01204664983404272,0.8308340791356809
0.008,space_filling,60,0.007575688945465226,0.9630933333333334,0.4461719317974253,0.5538280682025747,0.6169372997097518,0.015451722300163551,0.7691881729512056
0.008,two_sided_straddle,60,0.008426976060800779,0.9688,0.3465048820222556,0.6534951179777444,0.6754541051410039,0.013518999620660409,0.8199880591785419
0.008,uncertainty_only,60,0.00757107727826117,0.9622133333333333,0.4143686743954222,0.5856313256045778,0.6124638426105812,0.01627449328227531,0.7846784161611512
