metric,baseline,mean_difference,ci_low,ci_high,seed_wilcoxon_p
decision_agreement,evidence_gated,-0.0014799999999999952,-0.0024799999999999935,-0.0005599999999999897,0.02734375
missed_exceedance,evidence_gated,-0.003440367300069965,-0.04152661867475721,0.030990219748327996,0.845703125
rmse,evidence_gated,0.00011438714140197124,-8.269642118468498e-05,0.000305889567431227,0.232421875
balanced_accuracy,evidence_gated,0.0010303705014538713,-0.01596258594738988,0.019618048578170455,0.845703125
decision_agreement,two_sided_straddle,-0.0007800000000000001,-0.001980000000000004,0.0006199999999999956,0.22265625
missed_exceedance,two_sided_straddle,-0.01100494131361442,-0.04524568595635563,0.02638777797921938,0.556640625
rmse,two_sided_straddle,-2.594120274569619e-05,-0.00021398883092723983,0.00021119013938704828,0.431640625
balanced_accuracy,two_sided_straddle,0.005140631312441367,-0.01335646590108221,0.02182275660660696,0.556640625
decision_agreement,uncertainty_only,0.005280000000000007,0.004100000000000018,0.0064400000000000065,0.001953125
missed_exceedance,uncertainty_only,-0.1329647417716217,-0.18631139487624282,-0.08235086757008447,0.001953125
rmse,uncertainty_only,0.0008125306747146437,0.0006612486111174016,0.0009853777584438487,0.001953125
balanced_accuracy,uncertainty_only,0.06647650693580937,0.04158009453973909,0.0925503464199879,0.001953125
