seed,family,noise,method,length_scale,rmse,mae,decision_agreement,missed_exceedance,tp,fn,fp,tn,prevalence,recall,precision,false_positive_rate,balanced_accuracy
0,smooth,0.003,uncertainty_only,0.1,0.0026556149335094704,0.00212211058792818,0.992,0.10526315789473684,17,2,3,603,0.0304,0.8947368421052632,0.85,0.0049504950495049506,0.9448931735278792
0,smooth,0.003,two_sided_straddle,0.1,0.0027069512581050586,0.002137694483036348,0.9952,0.10526315789473684,17,2,1,605,0.0304,0.8947368421052632,0.9444444444444444,0.0016501650165016502,0.9465433385443808
0,smooth,0.003,evidence_gated,0.1,0.0035189149891775434,0.0028092876552046975,0.9984,0.0,19,0,1,605,0.0304,1.0,0.95,0.0016501650165016502,0.9991749174917492
0,smooth,0.008,uncertainty_only,0.1,0.005974066766233178,0.004717982874970947,0.9808,0.3684210526315789,12,7,5,601,0.0304,0.631578947368421,0.7058823529411765,0.00825082508250825,0.8116640611429564
0,smooth,0.008,two_sided_straddle,0.1,0.005917097980264883,0.004762154305822634,0.9808,0.15789473684210525,16,3,9,597,0.0304,0.8421052631578947,0.64,0.01485148514851485,0.9136268890046899
0,smooth,0.008,evidence_gated,0.1,0.0059881057630322984,0.004809968027933797,0.9808,0.3157894736842105,13,6,6,600,0.0304,0.6842105263157895,0.6842105263157895,0.009900990099009901,0.8371547681083897
0,waviness,0.003,uncertainty_only,0.1,0.00706870318763931,0.005339682142899161,0.9312,0.5540540540540541,33,41,2,549,0.1184,0.44594594594594594,0.9428571428571428,0.003629764065335753,0.721158090940305
0,waviness,0.003,two_sided_straddle,0.1,0.009309133658091232,0.0066497908605621684,0.9536,0.35135135135135137,48,26,3,548,0.1184,0.6486486486486487,0.9411764705882353,0.0054446460980036296,0.8216020012753225
0,waviness,0.003,evidence_gated,0.1,0.012075545983455773,0.008671900635724839,0.9424,0.3918918918918919,45,29,7,544,0.1184,0.6081081081081081,0.8653846153846154,0.012704174228675136,0.7977019669397165
0,waviness,0.008,uncertainty_only,0.1,0.009119150981971491,0.0072504408154306105,0.9344,0.4594594594594595,40,34,7,544,0.1184,0.5405405405405406,0.851063829787234,0.012704174228675136,0.7639181831559327
0,waviness,0.008,two_sided_straddle,0.1,0.012434486125883392,0.009461076224099297,0.9184,0.581081081081081,31,43,8,543,0.1184,0.4189189189189189,0.7948717948717948,0.014519056261343012,0.702199931328788
0,waviness,0.008,evidence_gated,0.1,0.012674389299887956,0.009999379742902426,0.9264,0.5540540540540541,33,41,5,546,0.1184,0.44594594594594594,0.868421052631579,0.009074410163339383,0.7184357678913033
0,local_defect,0.003,uncertainty_only,0.1,0.005853987428500997,0.002583318075352687,0.9984,1.0,0,1,0,624,0.0016,0.0,0.0,0.0,0.5
0,local_defect,0.003,two_sided_straddle,0.1,0.003379014076495277,0.0023700930082431394,0.9936,0.0,1,0,4,620,0.0016,1.0,0.2,0.00641025641025641,0.9967948717948718
0,local_defect,0.003,evidence_gated,0.1,0.004291411550544141,0.002606083823060674,0.9984,1.0,0,1,0,624,0.0016,0.0,0.0,0.0,0.5
0,local_defect,0.008,uncertainty_only,0.1,0.007213237464787162,0.005110626647602444,0.9984,1.0,0,1,0,624,0.0016,0.0,0.0,0.0,0.5
0,local_defect,0.008,two_sided_straddle,0.1,0.006578604586038222,0.0053131928663438,0.9968,0.0,1,0,2,622,0.0016,1.0,0.3333333333333333,0.003205128205128205,0.9983974358974359
0,local_defect,0.008,evidence_gated,0.1,0.007147660694613937,0.005372467129029296,0.9984,1.0,0,1,0,624,0.0016,0.0,0.0,0.0,0.5
0,mixed,0.003,uncertainty_only,0.1,0.0048756306828913205,0.0035260990238003857,0.9824,0.3,14,6,5,600,0.032,0.7,0.7368421052631579,0.008264462809917356,0.8458677685950413
0,mixed,0.003,two_sided_straddle,0.1,0.005399538211417511,0.003950483305823589,0.9872,0.2,16,4,4,601,0.032,0.8,0.8,0.006611570247933884,0.8966942148760331
0,mixed,0.003,evidence_gated,0.1,0.006613521764347971,0.004757209997458621,0.992,0.2,16,4,1,604,0.032,0.8,0.9411764705882353,0.001652892561983471,0.8991735537190083
0,mixed,0.008,uncertainty_only,0.1,0.008499031984951146,0.0068801720177170496,0.9712,0.15,17,3,15,590,0.032,0.85,0.53125,0.024793388429752067,0.9126033057851239
0,mixed,0.008,two_sided_straddle,0.1,0.0089980924274946,0.007155526483002008,0.9648,0.3,14,6,16,589,0.032,0.7,0.4666666666666667,0.026446280991735537,0.8367768595041323
