metric,baseline,n_scenarios,n_seed_clusters,mean_difference,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,scenario_wilcoxon_p,seed_cluster_wilcoxon_p,seed_level_rank_biserial,holm_seed_p
decision_agreement,space_filling,120,15,0.005906666666666661,0.004759999999999994,0.007106666666666663,1.5967212665286035e-11,0.0006533107814151376,1.0,0.0039198646884908254
missed_exceedance,space_filling,120,15,-0.14024789416752836,-0.17949237933744602,-0.10245512415473583,4.812371150745057e-11,6.103515625e-05,-1.0,0.00042724609375
rmse,space_filling,120,15,0.0008287739698163708,0.0006249342194906588,0.0010287894784918592,2.4294315097873856e-06,6.103515625e-05,1.0,0.00042724609375
balanced_accuracy,space_filling,120,15,0.07064290729438814,0.051915735170565365,0.09018147240832688,1.4699192927934126e-11,6.103515625e-05,1.0,0.00042724609375
decision_agreement,geometry_only,120,15,0.009119999999999993,0.007573333333333324,0.010733333333333322,5.433612747795062e-14,0.0006533107814151376,1.0,0.0039198646884908254
missed_exceedance,geometry_only,120,15,-0.1553808347428975,-0.19770668315810364,-0.11474491241825036,3.467715218495618e-12,6.103515625e-05,-1.0,0.00042724609375
rmse,geometry_only,120,15,-0.00012981553978705588,-0.00048202489442068476,0.00018601026109975408,0.3391292156949791,0.67877197265625,-0.13333333333333333,0.67877197265625
balanced_accuracy,geometry_only,120,15,0.07853633592541691,0.058507706165633215,0.0995113017242974,1.6916164498968793e-12,6.103515625e-05,1.0,0.00042724609375
decision_agreement,uncertainty_only,120,15,0.006213333333333332,0.005026666666666661,0.007293333333333341,6.927394340114343e-12,6.103515625e-05,1.0,0.00042724609375
missed_exceedance,uncertainty_only,120,15,-0.11061520875870005,-0.15213890076155434,-0.07110569079537606,1.675454869918126e-09,0.00030517578125,-0.95,0.00152587890625
rmse,uncertainty_only,120,15,0.0008279565108544458,0.000637765133711722,0.0010292177242652168,1.9759723270613827e-06,6.103515625e-05,1.0,0.00042724609375
balanced_accuracy,uncertainty_only,120,15,0.055947577399171375,0.036184209864937346,0.076649713711863,5.294941502756001e-10,0.00030517578125,0.95,0.00152587890625
decision_agreement,two_sided_straddle,120,15,0.0005733333333333275,-5.366666666668393e-05,0.0012266666666666546,0.18141165840347084,0.13967601763991994,0.43333333333333335,0.427978515625
missed_exceedance,two_sided_straddle,120,15,-0.007020706871975933,-0.02801531547530832,0.015980636715610567,0.9609011937923265,0.359130859375,-0.2833333333333333,0.5047607421875
rmse,two_sided_straddle,120,15,-0.00011404760858268497,-0.0003045179714567589,7.018627964245222e-05,0.11015203681882398,0.27685546875,-0.3333333333333333,0.5537109375
balanced_accuracy,two_sided_straddle,120,15,0.00380881913303477,-0.007450100211109741,0.014124981154385366,0.8978523282320872,0.359130859375,0.2833333333333333,0.5047607421875
decision_agreement,randomized_straddle,120,15,0.0009466666666666596,6.666666666665932e-05,0.0018669999999999945,0.19225788309695746,0.10699462890625,0.48333333333333334,0.427978515625
missed_exceedance,randomized_straddle,120,15,-0.025627062544620084,-0.04518298464229201,-0.008464378991973347,0.14244365855756178,0.01507568359375,-0.7,0.060302734375
rmse,randomized_straddle,120,15,-0.0010331208763178724,-0.0012039796728955056,-0.0008718094261663265,8.708652849250341e-13,6.103515625e-05,-1.0,0.00042724609375
balanced_accuracy,randomized_straddle,120,15,0.012623085480185807,0.004028919545612171,0.022379268798578607,0.20162118674623908,0.01507568359375,0.7,0.060302734375
decision_agreement,posterior_risk,120,15,0.0004799999999999943,-0.0007603333333333433,0.0015866666666666676,0.3798541332269022,0.2328848852887021,0.35,0.4657697705774042
missed_exceedance,posterior_risk,120,15,-0.020608733712599137,-0.05599803658437551,0.014455794704423607,0.23128335390887356,0.25238037109375,-0.35,0.5047607421875
rmse,posterior_risk,120,15,-0.001549129083501132,-0.001699449547328341,-0.001390298813884261,4.2468755923260924e-19,6.103515625e-05,-1.0,0.00042724609375
balanced_accuracy,posterior_risk,120,15,0.009956287779961766,-0.007573318131335848,0.027553496882931926,0.2178791770910513,0.25238037109375,0.35,0.5047607421875
decision_agreement,evidence_no_geometry,120,15,0.0005599999999999947,-0.0003999999999999985,0.0014799999999999933,0.3346741267355299,0.3485908811649828,0.275,0.4657697705774042
missed_exceedance,evidence_no_geometry,120,15,-0.02898117871724187,-0.06338684765896456,0.0001835158417817936,0.3629231148836658,0.1353759765625,-0.45,0.4061279296875
rmse,evidence_no_geometry,120,15,-0.0003600715212392249,-0.0004971293251278901,-0.00022298230068382486,7.421596197778826e-05,0.00030517578125,-0.95,0.00091552734375
balanced_accuracy,evidence_no_geometry,120,15,0.014493135842697742,1.3284442467579505e-05,0.03160839301325569,0.49427179629601836,0.12054443359375,0.4666666666666667,0.36163330078125
