placement,family,method,n,rmse,agreement,missed,balanced_accuracy
geometry_independent,local_defect,evidence_gated,16,0.005034515625197616,0.9907,0.24399724802201583,0.8753021854167515
geometry_independent,local_defect,evidence_no_geometry,16,0.0049985207451688635,0.9897,0.2814896997128371,0.8562417291828988
geometry_independent,local_defect,posterior_risk,16,0.005423394570924466,0.9903,0.3441626097426003,0.8253663815467143
geometry_independent,local_defect,two_sided_straddle,16,0.005198244723134621,0.9883,0.28936188510491917,0.851551311119424
geometry_independent,local_defect,uncertainty_only,16,0.004967770891027465,0.9867,0.3511077552683926,0.8201900535272767
geometry_independent,mixed,evidence_gated,16,0.006233689855321524,0.9826,0.23868744795926844,0.8762255960012056
geometry_independent,mixed,evidence_no_geometry,16,0.006561908953602774,0.9829,0.22655297737395946,0.8821910896874106
geometry_independent,mixed,posterior_risk,16,0.00823816728763241,0.9817,0.25567824502261566,0.8678440897923883
geometry_independent,mixed,two_sided_straddle,16,0.006974209961024717,0.9809,0.26921037022384786,0.860870282171589
geometry_independent,mixed,uncertainty_only,16,0.005613023377626291,0.9767,0.35952798756703414,0.8155469262566456
low_complexity,local_defect,evidence_gated,16,0.004724822712906819,0.992,0.07811337054758108,0.9580263567727099
low_complexity,local_defect,evidence_no_geometry,16,0.004875463957743349,0.9928,0.0685672514619883,0.9630008023726746
low_complexity,local_defect,posterior_risk,16,0.005226819877832244,0.9926,0.1282894736842105,0.9335024120155726
low_complexity,local_defect,two_sided_straddle,16,0.0048201527569869,0.992,0.0715909090909091,0.9612353588603131
low_complexity,local_defect,uncertainty_only,16,0.004976441877887603,0.9874,0.19480519480519481,0.8982825208749892
low_complexity,mixed,evidence_gated,16,0.006441208850728569,0.9831,0.22732311548101022,0.8818288656337118
low_complexity,mixed,evidence_no_geometry,16,0.006423165369498679,0.9847,0.2176047088876036,0.8873068325252329
low_complexity,mixed,posterior_risk,16,0.00821453020121731,0.9845,0.2252772020864126,0.8835279012078245
low_complexity,mixed,two_sided_straddle,16,0.006667032697526585,0.9825,0.2324284268363216,0.878815985198426
low_complexity,mixed,uncertainty_only,16,0.005357648029543288,0.9781,0.33030600004284216,0.8292323386612784
