placement,family,noise,seed,method,rmse,mae,decision_agreement,missed_exceedance,tp,fn,fp,tn,prevalence,recall,precision,false_positive_rate,balanced_accuracy
geometry_independent,local_defect,0.003,0,uncertainty_only,0.00318241062785879,0.002194949394121113,0.9968,0.6666666666666666,1,2,0,622,0.0048,0.3333333333333333,1.0,0.0,0.6666666666666666
geometry_independent,local_defect,0.003,0,two_sided_straddle,0.003186995516367259,0.002382400526353165,1.0,0.0,3,0,0,622,0.0048,1.0,1.0,0.0,1.0
geometry_independent,local_defect,0.003,0,posterior_risk,0.004469871818026236,0.002755349849895161,0.9952,1.0,0,3,0,622,0.0048,0.0,0.0,0.0,0.5
geometry_independent,local_defect,0.003,0,evidence_no_geometry,0.0028316386913259236,0.002189900191798314,0.9984,0.0,3,0,1,621,0.0048,1.0,0.75,0.001607717041800643,0.9991961414790997
geometry_independent,local_defect,0.003,0,evidence_gated,0.0030225077793679883,0.002369572438997318,1.0,0.0,3,0,0,622,0.0048,1.0,1.0,0.0,1.0
geometry_independent,local_defect,0.003,1,uncertainty_only,0.0035899919432655974,0.002468983689347542,0.992,0.08695652173913043,21,2,3,599,0.0368,0.9130434782608695,0.875,0.0049833887043189366,0.9540300447782752
geometry_independent,local_defect,0.003,1,two_sided_straddle,0.003228709138020016,0.002338872456790445,0.9936,0.0,23,0,4,598,0.0368,1.0,0.8518518518518519,0.006644518272425249,0.9966777408637874
geometry_independent,local_defect,0.003,1,posterior_risk,0.0031973219318457468,0.0023009026369473764,0.9952,0.0,23,0,3,599,0.0368,1.0,0.8846153846153846,0.0049833887043189366,0.9975083056478405
geometry_independent,local_defect,0.003,1,evidence_no_geometry,0.0026685985025108635,0.00204941636075347,0.9904,0.08695652173913043,21,2,4,598,0.0368,0.9130434782608695,0.84,0.006644518272425249,0.953199479994222
geometry_independent,local_defect,0.003,1,evidence_gated,0.0036772092714007294,0.0025336495181663707,0.9936,0.0,23,0,4,598,0.0368,1.0,0.8518518518518519,0.006644518272425249,0.9966777408637874
geometry_independent,local_defect,0.003,2,uncertainty_only,0.004330443221021152,0.002477499619521556,0.9936,0.8,1,4,0,620,0.008,0.2,1.0,0.0,0.6
geometry_independent,local_defect,0.003,2,two_sided_straddle,0.005531140809229459,0.0026152806572947804,0.992,1.0,0,5,0,620,0.008,0.0,0.0,0.0,0.5
geometry_independent,local_defect,0.003,2,posterior_risk,0.005575248114543176,0.002718214763072106,0.992,1.0,0,5,0,620,0.008,0.0,0.0,0.0,0.5
geometry_independent,local_defect,0.003,2,evidence_no_geometry,0.0055859960811924575,0.002714007225547216,0.992,1.0,0,5,0,620,0.008,0.0,0.0,0.0,0.5
geometry_independent,local_defect,0.003,2,evidence_gated,0.005354753566389703,0.0024710135807730614,0.992,1.0,0,5,0,620,0.008,0.0,0.0,0.0,0.5
geometry_independent,local_defect,0.003,3,uncertainty_only,0.0035714444011985683,0.0026179549864439005,0.9904,0.058823529411764705,16,1,5,603,0.0272,0.9411764705882353,0.7619047619047619,0.008223684210526315,0.9664763931888545
geometry_independent,local_defect,0.003,3,two_sided_straddle,0.0036443795124010974,0.002548301260757516,0.9952,0.11764705882352941,15,2,1,607,0.0272,0.8823529411764706,0.9375,0.001644736842105263,0.9403541021671826
geometry_independent,local_defect,0.003,3,posterior_risk,0.0032422513095464707,0.002365235613188319,0.9968,0.11764705882352941,15,2,0,608,0.0272,0.8823529411764706,1.0,0.0,0.9411764705882353
geometry_independent,local_defect,0.003,3,evidence_no_geometry,0.0031141032876047794,0.002243346427301301,0.9984,0.058823529411764705,16,1,0,608,0.0272,0.9411764705882353,1.0,0.0,0.9705882352941176
geometry_independent,local_defect,0.003,3,evidence_gated,0.003022948957088239,0.002146913048539416,0.9984,0.058823529411764705,16,1,0,608,0.0272,0.9411764705882353,1.0,0.0,0.9705882352941176
geometry_independent,local_defect,0.003,4,uncertainty_only,0.003284564606337314,0.0024047334277852135,0.9952,0.05263157894736842,18,1,2,604,0.0304,0.9473684210526315,0.9,0.0033003300330033004,0.9720340455098141
geometry_independent,local_defect,0.003,4,two_sided_straddle,0.004208679123137217,0.002968931422418668,0.9952,0.05263157894736842,18,1,2,604,0.0304,0.9473684210526315,0.9,0.0033003300330033004,0.9720340455098141
geometry_independent,local_defect,0.003,4,posterior_risk,0.003973148813714585,0.002853069251291098,0.9952,0.05263157894736842,18,1,2,604,0.0304,0.9473684210526315,0.9,0.0033003300330033004,0.9720340455098141
geometry_independent,local_defect,0.003,4,evidence_no_geometry,0.0034374270930001,0.002447821573828259,0.992,0.0,19,0,5,601,0.0304,1.0,0.7916666666666666,0.00825082508250825,0.9958745874587458
geometry_independent,local_defect,0.003,4,evidence_gated,0.004304751827427905,0.0027760501845549256,0.9952,0.05263157894736842,18,1,2,604,0.0304,0.9473684210526315,0.9,0.0033003300330033004,0.9720340455098141
geometry_independent,local_defect,0.003,5,uncertainty_only,0.0023693389153121892,0.0018606801743492173,0.9888,0.15,34,6,1,584,0.064,0.85,0.9714285714285714,0.0017094017094017094,0.9241452991452992
geometry_independent,local_defect,0.003,5,two_sided_straddle,0.0034544717792538817,0.0026949069514417188,0.9824,0.2,32,8,3,582,0.064,0.8,0.9142857142857143,0.005128205128205128,0.8974358974358975
geometry_independent,local_defect,0.003,5,posterior_risk,0.004112539521588056,0.0031778757524621435,0.9824,0.15,34,6,5,580,0.064,0.85,0.8717948717948718,0.008547008547008548,0.9207264957264958
